114101,Biaya Dibayar Dimuka,  46.000.000 ,"1,4%",  44.000.000 ,"0,9%",  42.000.000 ,"0,6%",  51.000.000 ,"0,5%",  97.875.000 ,"1,0%",  93.750.000 ,"0,6%",  89.625.000 ,"0,6%",  85.500.000 ,"0,5%",  85.500.000 ,"0,5%",,,,,,,,
115101,Uang Muka PPh,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",,,,,,,,
115201,Uang Muka PPN,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",,,,,,,,
,,  274.454.320 ,"8,4%",  291.424.594 ,"5,7%",  308.894.664 ,"4,3%",  337.043.565 ,"3,6%",  816.992.102 ,"8,3%",  256.739.026 ,"1,7%",  234.303.933 ,"1,5%",  287.269.268 ,"1,8%",  660.407.309 ,"4,0%",,,,,,  -   ,,  -   
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASET TIDAK LANCAR,,,,,,,,,,,,,,,,,,,,,,,,,,
121101,Tanah,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",,,,,,,,
121102,Bangunan,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",,,,,,,,
121202,Ak. Penyusutan Bangunan,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",,,,,,,,
121103,Inventaris,  19.025.000 ,"0,6%",  32.955.000 ,"0,6%",  64.351.000 ,"0,9%",  70.426.000 ,"0,8%",  116.421.000 ,"1,2%",  124.741.000 ,"0,8%",  124.741.000 ,"0,8%",  126.541.000 ,"0,8%",  126.541.000 ,"0,8%",,,,,,,,
121203,Ak. Penyusutan Inventaris,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",  -   ,"0,0%",,,,,,,,
121104,Kendaraan,  2.992.997.092 ,"91,1%",  4.828.828.138 ,"93,7%",  6.823.528.138 ,"94,8%",  8.899.684.138 ,"95,6%",  8.955.684.138 ,"90,6%",  14.794.207.734 ,"97,5%",  15.344.207.734 ,"97,7%",  15.552.307.734 ,"97,4%",  15.591.856.734 ,"95,2%",,,,,,,,
121204,Ak. Penyusutan Kendaraan,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",  -   ,"0,0%",,,,,,,,
,,  3.012.022.092 ,"91,6%",  4.861.783.138 ,"94,3%",  6.887.879.138 ,"95,7%",  8.970.110.138 ,"96,4%",  9.072.105.138 ,"91,7%",  14.918.948.734 ,"98,3%",  15.468.948.734 ,"98,5%",  15.678.848.734 ,"98,2%",  15.718.397.734 ,"96,0%",,,,,,  -   ,,  -   
,JUMLAH ASET,  3.286.476.412 ,"100,0%",  5.153.207.732 ,"100,0%",  7.196.773.802 ,"100,0%",  9.307.153.703 ,"100,0%",  9.889.097.240 ,"100,0%",  15.175.687.760 ,"100,0%",  15.703.252.667 ,"100,0%",  15.966.118.002 ,"100,0%",  16.378.805.043 ,"100,0%",,,,,,  -   ,,  -   
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIABILITAS DAN EKUITAS,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIABILITAS,,,,,,,,,,,,,,,,,,,,,,,,,,
211001,Hutang Usaha,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  11.069.000 ,"0,1%",  14.069.000 ,"0,1%",,,,,,,,
215004,Hutang Lain-Lain,  -   ,"0,0%",  93 ,"0,0%",  93 ,"0,0%",  184 ,"0,0%",  198 ,"0,0%",  1.161 ,"0,0%",  6.336 ,"0,0%",  16.612 ,"0,0%",  16.612 ,"0,0%",,,,,,,,
221001,Hutang Kendaraan,  -   ,"0,0%",  -   ,"0,0%",  166.296.000 ,"2,3%",  2.029.485.000 ,"21,8%",  1.742.970.000 ,"17,6%",  4.432.998.596 ,"29,2%",  4.361.938.596 ,"27,8%",  4.293.018.596 ,"26,9%",  4.251.595.596 ,"26,0%",,,,,,,,
,,  -   ,"0,0%",  93 ,"0,0%",  166.296.093 ,"2,3%",  2.029.485.184 ,"21,8%",  1.742.970.198 ,"17,6%",  4.432.999.757 ,"29,2%",  4.361.944.932 ,"27,8%",  4.304.104.208 ,"27,0%",  4.265.681.208 ,"26,0%",,,,,,  -   ,,  -   
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EKUITAS,,,,,,,,,,,,,,,,,,,,,,,,,,
300001,Modal,  3.251.979.092 ,"99,0%",  5.043.406.538 ,"97,9%",  6.984.652.538 ,"97,1%",  7.001.603.259 ,"75,2%",  7.768.483.759 ,"78,6%",  10.242.348.215 ,"67,5%",  10.566.914.865 ,"67,3%",  10.750.914.865 ,"67,3%",  10.920.884.865 ,"66,7%",,,,,,,,
300002,Laba Ditahan,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",,,,,,,,
300003,Laba Periode Berjalan,  34.497.320 ,"1,0%",  109.801.101 ,"2,1%",  45.825.171 ,"0,6%",  276.065.260 ,"0,0%",  377.643.283 ,"3,8%",  500.339.788 ,"3,3%",  774.392.870 ,"4,9%",  911.098.928 ,"5,7%",  1.192.238.969 ,"7,3%",,,,,,,,
300004,Deviden,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",,,,,,,,
,,  3.286.476.412 ,"100,0%",  5.153.207.639 ,"100,0%",  7.030.477.709 ,"97,7%",  7.277.668.519 ,"78,2%",  8.146.127.042 ,"82,4%",  10.742.688.003 ,"70,8%",  11.341.307.735 ,"72,2%",  11.662.013.793 ,"73,0%",  12.113.123.834 ,"74,0%",,,,,,  -   ,,  -   
,JUMLAH LIABILITAS DAN EKUITAS,  3.286.476.412 ,"100,0%",  5.153.207.732 ,"100,0%",  7.196.773.802 ,"100,0%",  9.307.153.703 ,"100,0%",  9.889.097.240 ,"100,0%",  15.175.687.760 ,"100,0%",  15.703.252.667 ,"100,0%",  15.966.118.002 ,"100,0%",  16.378.805.043 ,"100,0%",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,,,,,,,  -   ,,  -   
